category,files,internal_module_edges,outgoing_domain_edges,incoming_domain_edges
core/config,64,102,65,44
desktop/network,49,97,29,14
core/processes,34,41,38,22
core/api,32,58,38,3
core/queue,28,37,26,13
core/kernel,27,32,0,86
tools/dev,27,7,31,0
core/rename,26,48,21,20
desktop/api,26,41,16,11
desktop/application,23,29,74,88
core/maintenance,19,15,21,11
core/publish,19,30,20,6
core/status,19,27,16,6
core/audit,13,17,17,2
core/completed,10,8,18,11
core/decide,10,22,11,3
core/diagnostics,10,8,19,9
desktop/contracts,10,0,10,8
tools/change_control,10,4,10,1
core/failures,9,5,9,4
core/final_library,9,8,8,2
core/folder_policy,7,7,2,1
core/paths,7,6,8,5
core/schedule,7,5,5,2
core/observability,6,1,3,9
core/telemetry,6,3,10,2
pipeline/ass_to_srt,6,5,0,6
core/network,5,4,18,14
core/storage,5,2,0,10
core/files,4,3,0,14
core/metrics,4,5,8,1
core/orchestration,4,1,15,3
core/repair_reconcile,4,5,9,2
core/shared,4,0,0,0
core/library,3,2,5,1
core/sample_validation,3,1,13,1
core/subtitles,3,2,3,3
core/validation,3,0,2,8
desktop/watch,3,3,1,2
core/application,2,0,1,1
core/ui,2,0,1,0
contracts/api_commands,1,0,1,1
contracts/config,1,0,9,13
contracts/config_coercion,1,0,1,1
contracts/config_defaults,1,0,1,1
contracts/config_schema_extras,1,0,0,1
contracts/config_validators,1,0,1,1
contracts/decision_policy,1,0,2,2
contracts/height_tolerance,1,0,0,7
contracts/lifecycle,1,0,0,1
contracts/pipeline_plan,1,0,1,1
contracts/root,1,0,0,0
contracts/runtime_evidence,1,0,0,0
contracts/source_media,1,0,2,11
contracts/source_media_adapters,1,0,4,1
contracts/source_media_derived,1,0,2,1
contracts/source_media_models,1,0,0,5
contracts/source_media_streams,1,0,2,1
contracts/source_media_values,1,0,1,3
contracts/stage_base,1,0,0,4
contracts/stage_decide,1,0,2,2
contracts/stage_mutation,1,0,2,1
contracts/stage_probe,1,0,1,1
contracts/stages,1,0,4,4
contracts/subtitles,1,0,0,1
contracts/verification,1,0,0,6
core/root,1,0,0,0
core/ui_preferences,1,0,0,2
desktop/__main__,1,0,1,0
desktop/backend_bootstrap,1,0,0,1
desktop/config_keys,1,0,1,12
desktop/local_api_main,1,0,10,1
desktop/models,1,0,1,99
desktop/models_core,1,0,1,4
desktop/models_media_paths,1,0,1,0
desktop/priority_markers,1,0,0,2
desktop/root,1,0,2,5
desktop/services,1,0,29,3
desktop/subprocess_runner,1,0,1,18
desktop/webview_settings_live_smoke,1,0,7,1
desktop/webview_settings_patch_smoke,1,0,7,0
pipeline/ass_to_srt_cli,1,0,6,0
pipeline/root,1,0,0,0
tools/autonomy_growth_snapshot,1,0,2,0
tools/autonomy_health_gate,1,0,4,2
tools/autonomy_soak_tick,1,0,4,0
tools/lint_naming,1,0,1,0
tools/paths,1,0,0,45
tools/release_identity,1,0,1,2
tools/root,1,0,0,0
